Company Name,High,Low,Last Price,Prv Close,Change,Day Volume,FiveDay AvgVolume,TenDayAvgVolume,ThirtyDayAvgVolume,Rating,Api
Pricol,48.30,46.15,47.20,47.10,0.10,284349,459025,408397,441889,3 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/pricol/P9
Chennai Petro,96.40,93.40,94.55,94.35,0.20,263708,868019,769643,756127,3 Star,http://www.moneycontrol.com/india/stockpricequote/refineries/chennaipetroleumcorporation/CPC02
Cox & Kings,311.95,282,309.20,308.55,0.65,1046639,585967,652828,567475,4 Star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/coxkings/CK
Deepak Fert,143.80,140.75,141.65,141.35,0.30,84962,98277,142039,95150,2 Star,http://www.moneycontrol.com/india/stockpricequote/fertilisers/deepakfertilizerspetrochemicalscoprn/DFP
Orient Refract,102,96.20,97.30,97.10,0.20,29769,51469,65534,46731,2 Star,http://www.moneycontrol.com/india/stockpricequote/cement-productsbuildingmaterials/orientrefractories/OR01
Jindal Drilling,214,196.95,210.50,210.05,0.45,7766,20451,17193,11174,3 Star,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/jindaldrillingindustries/JDI
Hexa Tradex,24.95,22.50,24.45,24.40,0.05,1319,8412,5711,4312,3 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/hexatradex/HT03
Amara Raja Batt,710,691.40,699.95,698.55,1.40,259161,687379,407977,296167,3 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajabatteries/ARB
KRBL,100.75,98.35,99.80,99.60,0.20,132648,132900,311047,198463,2 Star,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/krbl/KRB01
Time Techno,49.50,47.65,48.90,48.80,0.10,210771,240305,225226,186097,3 Star,http://www.moneycontrol.com/india/stockpricequote/packaging/timetechnoplast/TT03
MOIL,314.50,305,310.65,310.05,0.60,143509,106550,120066,80471,4 Star,http://www.moneycontrol.com/india/stockpricequote/miningminerals/moil/M18
Ent Network Ind,527.90,516,518.15,517.15,1,4622,12864,9286,8961,3 Star,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/entertainmentnetworkindia/ENI
Persistent,1313,1286,1292.20,1289.70,2.50,47928,44561,59567,45764,2 Star,http://www.moneycontrol.com/india/stockpricequote/computers-software/persistentsystems/PS15
KLRF,26.50,26.30,26.35,26.30,0.05,436,1003,1938,935,2 Star,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/klrf/KLR
Bajaj Auto,2678.20,2642.85,2657.65,2652.85,4.80,412309,280376,271720,235191,5 Star,http://www.moneycontrol.com/india/stockpricequote/auto-23wheelers/bajajauto/BA10
Jubilant Life,140.50,135,137.55,137.30,0.25,507487,254526,203625,161996,5 Star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jubilantlifesciences/JO03
Vakrangee,137.80,134.65,135.55,135.30,0.25,267275,640374,474746,551420,3 Star,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/vakrangee/VS
NALCO,60.85,59.50,59.90,59.80,0.10,900426,1936974,1754192,1499770,3 Star,http://www.moneycontrol.com/india/stockpricequote/aluminium/nationalaluminiumcompany/NAC
MRPL,58.35,57.20,57.35,57.25,0.10,390915,1992884,1356512,723124,3 Star,http://www.moneycontrol.com/india/stockpricequote/refineries/mangalorerefinerypetrochemicals/MRP
LIC Housing Fin,426.90,416.50,421.35,420.65,0.70,2939317,4428942,4282374,3139287,3 Star,http://www.moneycontrol.com/india/stockpricequote/finance-housing/lichousingfinance/LIC
AXISCADES Engg,164,146.50,154.05,153.80,0.25,826817,335742,177674,118818,5 Star,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/axiscadesengineeringtechnologies/AXI
Mandhana Ind,320,292,306.20,305.70,0.50,68609,94868,60956,33923,3 Star,http://www.moneycontrol.com/india/stockpricequote/textiles-general/mandhanaindustries/MI24
Hind Nat Glass,128,118,127.15,126.95,0.20,1265,1523,1430,1151,3 Star,http://www.moneycontrol.com/india/stockpricequote/glassglassproducts/hindusthannationalglassindustries/HNG01
Hind Zinc,163.70,160.90,162.30,162.05,0.25,1358047,919527,1119258,1057989,4 Star,http://www.moneycontrol.com/india/stockpricequote/metals-nonferrous/hindustanzinc/HZ
BANK BEES,1787,1758,1782.77,1779.96,2.81,1272,2603,2884,2850,2 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/goldmansachsbankingindexexchangetradedscheme/BAM02
IOC,358.70,349.40,357.35,356.80,0.55,1076718,2083107,1998610,1540120,3 Star,http://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC
GE Shipping,406.05,396.50,399.20,398.60,0.60,129373,75687,75421,102092,4 Star,http://www.moneycontrol.com/india/stockpricequote/shipping/greateasternshippingcompany/GES
Marico,337.30,329.10,330.40,329.90,0.50,773339,779803,981596,801086,2 Star,http://www.moneycontrol.com/india/stockpricequote/personalcare/marico/M13
HUL,765.30,750,757.20,756.15,1.05,586703,759789,849418,842384,2 Star,http://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU
GlaxoSmithKline,2860,2834.90,2853.10,2849.25,3.85,6019,20157,17009,15387,3 Star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK
Hind Constr,35.70,33.80,34.80,34.75,0.05,3919284,7656223,7885710,4373693,2 Star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/hindustanconstructioncompany/HCC
Dr Reddys Labs,3459.80,3424.95,3439.75,3435.05,4.70,203538,272491,375980,360447,2 Star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL
Quantum Index,877,875.75,877,875.80,1.20,7,12,190,124,2 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/quantumindexfund-exchangetradedfund/QIF
NIIT,51.75,50.10,51,50.95,0.05,646066,699311,849365,647189,2 Star,http://www.moneycontrol.com/india/stockpricequote/computers-software-training/niit/NII
Oil India,596,585,593.05,592.60,0.45,236610,570831,536752,395664,3 Star,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilindia/OI13
Lumax Auto Tech,273.50,261,266.35,266.15,0.20,25655,36556,26688,22613,3 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/lumaxautotechnologies/LAT01
Shanthi Gears,124.80,122,124.50,124.40,0.10,36574,57838,92635,76280,2 Star,http://www.moneycontrol.com/india/stockpricequote/engineering/shanthigears/SG04
Selan Explore,444.75,428,434.20,433.85,0.35,44834,50905,39441,39604,3 Star,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/selanexplorationtechnology/SET
Piramal Enter,830.35,804.50,813.75,813.15,0.60,48697,72551,83740,77124,2 Star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/piramalenterprises/PH05
Cadila Health,1559.95,1536.20,1548.80,1547.70,1.10,39990,130221,124072,101590,3 Star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC
Shriram City,1769.90,1575.05,1714.85,1714.05,0.80,605,71221,38133,21553,3 Star,http://www.moneycontrol.com/india/stockpricequote/finance-leasinghirepurchase/shriramcityunionfinance/SCU
Wipro,566,559,564.15,563.90,0.25,1504469,1806104,2504556,2249232,2 Star,http://www.moneycontrol.com/india/stockpricequote/computers-software/wipro/W
SMS Pharma,468.80,447,455,454.85,0.15,4380,18547,12497,10005,3 Star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/smspharmaceuticals/SP38
Tata Inv Corp,569.70,560.05,568.55,568.30,0.25,11685,32633,25727,24669,3 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/tatainvestmentcorporation/TIC
IGL,442.30,432.35,434.95,434.80,0.15,242105,1012443,739539,504943,3 Star,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04
Sun Pharma Adv,193.50,188.30,191,190.95,0.05,224494,217126,397782,364070,2 Star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaadvancedresearchcompany/SPA
Banco Products,166.05,161.45,164,163.95,0.05,54099,67857,136081,104010,2 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/bancoproducts(india)/BPI
JSW Steel,1243.15,1214.10,1237.70,1237.35,0.35,413584,612167,572535,555473,3 Star,http://www.moneycontrol.com/india/stockpricequote/steel-large/jswsteel/JSW01
Yes Bank,697,685.50,689.55,689.45,0.10,1316034,2086886,2557072,1984240,2 Star,http://www.moneycontrol.com/india/stockpricequote/banks-privatesector/yesbank/YB
