Company Name,High,Low,Last Price,Prv Close,Change,Day Volume,FiveDay AvgVolume,TenDayAvgVolume,ThirtyDayAvgVolume,Rating,Api
Motor and Gen F,39.60,39.60,39.60,38.60,1,5,1751,1428,1557,3 star,http://www.moneycontrol.com/india/stockpricequote/finance-leasinghirepurchase/motorgeneralfinance/MGF
Oriental Hotels,24.15,23.50,23.80,23.20,0.60,2757,26969,19882,19268,3 star,http://www.moneycontrol.com/india/stockpricequote/hotels/orientalhotels/OH
Motor and Gen F,39.60,39.60,39.60,38.60,1,5,1751,1428,1557,3 star,http://www.moneycontrol.com/india/stockpricequote/finance-leasinghirepurchase/motorgeneralfinance/MGF
Jindal Stainles,32.35,30.90,31.70,30.90,0.80,95556,147987,199386,149684,2 star,http://www.moneycontrol.com/india/stockpricequote/steel-mediumsmall/jindalstainless/JSL01
Jindal Stainles,32.35,30.90,31.70,30.90,0.80,95556,147987,199386,149684,2 star,http://www.moneycontrol.com/india/stockpricequote/steel-mediumsmall/jindalstainless/JSL01
Oriental Hotels,24.15,23.50,23.80,23.20,0.60,2757,26969,19882,19268,3 star,http://www.moneycontrol.com/india/stockpricequote/hotels/orientalhotels/OH
Onward Tech,58.90,56.20,58.30,56.85,1.45,2825,26625,23590,12189,3 star,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/onwardtechnologies/OT
Onward Tech,58.90,56.20,58.30,56.85,1.45,2825,26625,23590,12189,3 star,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/onwardtechnologies/OT
Man Infra,35.20,32.35,34.15,33.30,0.85,3989794,6911769,3522851,1236532,3 star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/maninfraconstruction/MI37
Man Infra,35.20,32.35,34.15,33.30,0.85,3989794,6911769,3522851,1236532,3 star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/maninfraconstruction/MI37
Amtek Auto,206,200,203.75,198.90,4.85,1519786,3162086,3140324,1895116,3 star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/amtekauto/AA01
Amtek Auto,206,200,203.75,198.90,4.85,1519786,3162086,3140324,1895116,3 star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/amtekauto/AA01
PG Electroplast,95,94.90,95,92.75,2.25,73,11356,25239,14523,2 star,http://www.moneycontrol.com/india/stockpricequote/consumergoods-electronic/pgelectroplast/PE06
PG Electroplast,95,94.90,95,92.75,2.25,73,11356,25239,14523,2 star,http://www.moneycontrol.com/india/stockpricequote/consumergoods-electronic/pgelectroplast/PE06
KPR Mill,331.95,322.95,328.20,320.40,7.80,32144,80170,90424,74934,2 star,http://www.moneycontrol.com/india/stockpricequote/textiles-readymadeapparels/kprmill/M15
RPP Infra Proj,143,138.25,139.45,136.15,3.30,94080,15064,40083,40965,4 star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/rppinfraprojects/RIP01
KPR Mill,331.95,322.95,328.20,320.40,7.80,32144,80170,90424,74934,2 star,http://www.moneycontrol.com/india/stockpricequote/textiles-readymadeapparels/kprmill/M15
RPP Infra Proj,143,138.25,139.45,136.15,3.30,94080,15064,40083,40965,4 star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/rppinfraprojects/RIP01
Berger Paints,384.20,374.30,381.25,372.25,9,392386,419228,353703,359763,3 star,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02
Berger Paints,384.20,374.30,381.25,372.25,9,392386,419228,353703,359763,3 star,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02
Revathi CP,353,344.80,353,344.90,8.10,110,650,1268,847,2 star,http://www.moneycontrol.com/india/stockpricequote/compressors/revathicpequipment/RCP
Revathi CP,353,344.80,353,344.90,8.10,110,650,1268,847,2 star,http://www.moneycontrol.com/india/stockpricequote/compressors/revathicpequipment/RCP
Cybertech,51.85,48.95,51,49.80,1.20,19137,80770,160676,89074,2 star,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/cybertechsystemssoftware/CSS
Cybertech,51.85,48.95,51,49.80,1.20,19137,80770,160676,89074,2 star,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/cybertechsystemssoftware/CSS
Ramcoind,82.30,78.65,80.50,78.65,1.85,82945,179588,315394,309569,2 star,http://www.moneycontrol.com/india/stockpricequote/cement-productsbuildingmaterials/ramcoindustries/RI26
West Coast Papr,61.75,59.20,60.90,59.50,1.40,52121,125386,249706,181687,2 star,http://www.moneycontrol.com/india/stockpricequote/paper/westcoastpapermills/WCP
Ramcoind,82.30,78.65,80.50,78.65,1.85,82945,179588,315394,309569,2 star,http://www.moneycontrol.com/india/stockpricequote/cement-productsbuildingmaterials/ramcoindustries/RI26
West Coast Papr,61.75,59.20,60.90,59.50,1.40,52121,125386,249706,181687,2 star,http://www.moneycontrol.com/india/stockpricequote/paper/westcoastpapermills/WCP
