Company Name,High,Low,Last Price,Prv Close,Change,% Gain,PositiveBreakOut,API
Hang Seng BEES,1989,1969,1970,1922.50,47.50,2.48,null,/india/stockpricequote/finance-investments/goldmansachshangsengexchangetradedscheme/BMF01 
Kaveri Seed,955,891,942.90,920.20,22.70,2.47,null,/india/stockpricequote/miscellaneous/kaveriseedcompany/KSC01 
Savita Oil Tech,549.90,540,548.85,535.85,13,2.47,null,/india/stockpricequote/petrochemicals/savitaoiltechnologies/SOT01 
Microsec Fin,90,88,89,86.90,2.10,2.43,null,/india/stockpricequote/finance-general/microsecfinancialservices/MFS 
Lloyd Electric,159.30,153.10,158,154.35,3.65,2.42,null,/india/stockpricequote/consumergoods-whitegoods/lloydelectricengineering/LEE 
BF Investment,189.95,184.05,188.70,184.40,4.30,2.36,null,/india/stockpricequote/finance-investments/bfinvestment/BFI 
Essel Propack,131.40,126.60,126.60,123.75,2.85,2.33,null,/india/stockpricequote/packaging/esselpropack/EP11 
Surana Solar,70.80,69.40,70.50,68.95,1.55,2.30,null,/india/stockpricequote/miscellaneous/suranasolar/SV05 
SMS Pharma,516,502.30,513,501.90,11.10,2.25,null,/india/stockpricequote/pharmaceuticals/smspharmaceuticals/SP38 
JagsonpalPharma,31,29.55,30,29.35,0.65,2.21,null,/india/stockpricequote/pharmaceuticals/jagsonpalpharmaceuticals/JP02 
Valecha Engg,101.45,97.95,100,97.85,2.15,2.21,null,/india/stockpricequote/constructioncontracting-civil/valechaengineering/VE06 
Parenteral Drug,22,20.55,21,20.55,0.45,2.20,null,/india/stockpricequote/pharmaceuticals/parenteraldrugs(india)/PDI01 
Sandesh,511,498.05,505.05,494.25,10.80,2.19,null,/india/stockpricequote/printingstationery/sandesh/S01 
Shivam Auto,82.90,77.20,80.05,78.35,1.70,2.19,null,/india/stockpricequote/autoancillaries/shivamautotech/SA13 
Tips Industries,44.85,44.85,44.85,43.90,0.95,2.17,null,/india/stockpricequote/mediaentertainment/tipsindustries/TI25 
Eros Intl,440.70,428.30,437.95,429.25,8.70,2.16,null,/india/stockpricequote/mediaentertainment/erosinternationalmedia/EIM 
Mcnally Bh Engg,96.35,93.40,94.50,92.65,1.85,2.03,null,/india/stockpricequote/engineering/mcnallybharatengineering/MBE 
Dhunseri Petro,55,53.90,55,53.95,1.05,2,null,/india/stockpricequote/plantations-teacoffee/dhunseripetrochem/DTI 
MPS,900.05,871,900.05,882.80,17.25,1.95,null,/india/stockpricequote/printingstationery/mps/MI31 
Cigniti Tech,458,443,450,441.55,8.45,1.95,null,/india/stockpricequote/computers-softwaremediumsmall/cignititechnologies/CI42 
Pricol,32.40,31.60,32.15,31.55,0.60,1.91,null,/india/stockpricequote/autoancillaries/pricol/P9 
Munjal Showa,185.50,182,184.40,181.05,3.35,1.90,null,/india/stockpricequote/autoancillaries/munjalshowa/MS 
Excel Infoways,22.25,21.25,22,21.60,0.40,1.85,null,/india/stockpricequote/computers-softwaremediumsmall/excelinfoways/EI07 
Momai Apparels,83,82.50,82.50,81,1.50,1.85,null,/india/stockpricequote/textiles-readymadeapparels/momaiapparels/MA05 
ITI,25.25,24.55,24.85,24.40,0.45,1.85,null,/india/stockpricequote/telecommunications-equipment/iti/ITI 
Ind Motor Parts,680.70,670.40,675,662.80,12.20,1.84,null,/india/stockpricequote/trading/indiamotorpartsaccessories/IMP03 
DLF,164,158.70,160.30,157.40,2.90,1.84,null,/india/stockpricequote/constructioncontracting-realestate/dlf/D04 
NRB Bearings,143.30,139.10,140.80,138.25,2.55,1.84,null,/india/stockpricequote/bearings/nrbbearings/NRB 
SE Investments,280,277.95,280,275,5,1.84,null,/india/stockpricequote/finance-investments/seinvestments/SEI03 
Maral Overseas,28.75,28,28.70,28.20,0.50,1.82,null,/india/stockpricequote/textiles-spinning-cottonblended/maraloverseas/MO 
Ador Welding,211.95,200.05,211.85,208.20,3.65,1.77,null,/india/stockpricequote/electrodesgraphite/adorwelding/AW01 
Butterfly,209.85,205.75,209.20,205.60,3.60,1.75,null,/india/stockpricequote/domesticappliances/butterflygandhimathiappliances/GA 
Pioneer Distill,74.30,74.30,74.30,73.05,1.25,1.75,null,/india/stockpricequote/breweriesdistilleries/pioneerdistilleries/PDL 
AstraZeneca,985,964.10,974,957.65,16.35,1.71,null,/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP 
Ahmednagar Forg,275.15,267.30,272.70,268.15,4.55,1.71,null,/india/stockpricequote/castingsforgings/ahmednagarforgings/AF01 
Career Point,174,167.50,168.95,166.20,2.75,1.70,null,/india/stockpricequote/computers-software-training/careerpoint/CPI05 
Ahluwalia,248.05,241.10,245.90,241.90,4,1.65,null,/india/stockpricequote/constructioncontracting-civil/ahluwaliacontractsindia/ACI12 
Global Vectra,46.45,44.65,46.45,45.70,0.75,1.65,null,/india/stockpricequote/miscellaneous/globalvectrahelicorp/GVH 
Power Finance,279,272.35,276.60,272.35,4.25,1.64,null,/india/stockpricequote/finance-termlendinginstitutions/powerfinancecorporation/PFC02 
Aarti Drugs,1570,1501,1518,1494.65,23.35,1.56,null,/india/stockpricequote/pharmaceuticals/aartidrugs/AD 
Balaji Amines,86.40,85.50,86,84.70,1.30,1.56,null,/india/stockpricequote/chemicals/balajiamines/BA05 
Vesuvius India,719.75,705,712,701.30,10.70,1.53,null,/india/stockpricequote/cement-productsbuildingmaterials/vesuviusindia/VI06 
Rolta,172.95,169.80,170.80,168.25,2.55,1.53,null,/india/stockpricequote/computers-software/roltaindia/RI15 
KEC Intl,85.65,84.20,84.45,83.20,1.25,1.52,null,/india/stockpricequote/power-transmissionequipment/kecinternational/KEC04 
Gujarat Pipavav,235,225.20,233.70,230.30,3.40,1.50,null,/india/stockpricequote/shipping/gujaratpipavavport/GPP03 
Sutlej Textiles,364.90,342.15,342.15,337.20,4.95,1.48,null,/india/stockpricequote/textiles-general/sutlejtextilesindustries/STI9 
Wockhardt,1837.50,1787.75,1817.10,1791.10,26,1.47,null,/india/stockpricequote/pharmaceuticals/wockhardt/W05 
Welspun Corp,65.50,63.70,64.45,63.55,0.90,1.45,null,/india/stockpricequote/steel-tubespipes/welspuncorp/WGS 
REC,335.55,328.50,334.55,329.90,4.65,1.42,null,/india/stockpricequote/finance-termlendinginstitutions/ruralelectrificationcorporation/REC02 
20 Microns,35.95,35.50,35.85,35.35,0.50,1.41,null,/india/stockpricequote/miningminerals/20microns/2M 
