Company Name,High,Low,Last Price,Prv Close,Change,% Gain,API
Zodiac Clothing,403,399.10,399.15,395.65,3.50,0.88,/india/stockpricequote/textiles-readymadeapparels/zodiacclothingcompany/ZCC 
Sun Pharma,852,840,847,839.60,7.40,0.88,/india/stockpricequote/pharmaceuticals/sunpharmaceuticalindustries/SPI 
Reliance Power,68.90,67.45,68.60,68,0.60,0.88,/india/stockpricequote/power-generationdistribution/reliancepower/RP 
Dabur India,243.15,240,242.80,240.70,2.10,0.88,/india/stockpricequote/personalcare/daburindia/DI 
Ashiana Housing,187.90,183.25,185.40,183.80,1.60,0.87,/india/stockpricequote/constructioncontracting-housing/ashianahousing/AH07 
TTK Healthcare,795,777.30,783.95,777.25,6.70,0.87,/india/stockpricequote/pharmaceuticals/ttkhealthcare/TTK 
Brooks Labs,47.85,46.05,46.75,46.35,0.40,0.86,/india/stockpricequote/pharmaceuticals/brookslaboratories/BL 
Emco,41.80,40.25,40.95,40.60,0.35,0.86,/india/stockpricequote/electricequipment/emco/E05 
BHEL,274.60,268.60,273.40,271.10,2.30,0.86,/india/stockpricequote/infrastructure-general/bharatheavyelectricals/BHE 
Vimal Oils,215,212.50,214.80,213,1.80,0.85,/india/stockpricequote/edibleoilssolventextraction/vimaloilsfoods/VOF 
Mah Scooters,1028.60,1005,1018,1009.50,8.50,0.85,/india/stockpricequote/auto-23wheelers/maharashtrascooters/MS01 
Lumax Auto Tech,296.60,290.70,293.70,291.25,2.45,0.84,/india/stockpricequote/autoancillaries/lumaxautotechnologies/LAT01 
Celestial Labs,30.45,29.50,29.90,29.65,0.25,0.84,/india/stockpricequote/pharmaceuticals/celestiallabs/CL05 
AMD Industries,24.85,22.40,24.10,23.90,0.20,0.84,/india/stockpricequote/packaging/amdindustries/AMD02 
Dalmia Bharat,499,483,493,488.90,4.10,0.84,/india/stockpricequote/cement-major/dalmiabharat/DBE 
Oswal ChemandFe,30.80,29.60,30.15,29.90,0.25,0.84,/india/stockpricequote/fertilisers/oswalchemicalsfertilisers/OCF 
BEML,715,702,706,700.20,5.80,0.84,/india/stockpricequote/infrastructure-general/beml/BEM03 
Cosmo Films,104.80,101.45,103.40,102.55,0.85,0.83,/india/stockpricequote/plastics/cosmofilms/CF08 
Banaras Beads,55,52.50,54.40,53.95,0.45,0.83,/india/stockpricequote/miscellaneous/banarasbeads/BB03 
Plastiblends,286.05,281,284.45,282.10,2.35,0.83,/india/stockpricequote/plastics/plastiblendsindia/PI13 
Transport Corp,288.75,277,285,282.65,2.35,0.83,/india/stockpricequote/transportlogistics/transportcorporationindia/TCI04 
Gujarat Apollo,118,116,116.50,115.55,0.95,0.83,/india/stockpricequote/engineering-heavy/gujaratapolloindustries/GAI03 
Rupa and Comp,228,228,228,226.15,1.85,0.82,/india/stockpricequote/textiles-hosieryknitwear/rupacompany/RC14 
Repco Home,561,542,551.05,546.55,4.50,0.82,/india/stockpricequote/finance-housing/repcohomefinance/RHF 
Gateway Distri,322.55,313.20,315.70,313.15,2.55,0.82,/india/stockpricequote/miscellaneous/gatewaydistriparks/GD01 
Mcnally Bh Engg,88.30,86.25,86.90,86.20,0.70,0.81,/india/stockpricequote/engineering/mcnallybharatengineering/MBE 
Balmer Lawrie,616.30,611,613.20,608.25,4.95,0.81,/india/stockpricequote/packaging/balmerlawriecompany/BLC 
JSW Holdings,922.55,910.95,920,912.70,7.30,0.81,/india/stockpricequote/finance-investments/jswholdings/JSW 
Dhunseri Petro,88.25,85.50,88.10,87.40,0.70,0.80,/india/stockpricequote/plantations-teacoffee/dhunseripetrochem/DTI 
Walchandnagar,139.50,136,138.85,137.75,1.10,0.80,/india/stockpricequote/engineering-heavy/walchandnagarindustries/WI01 
Kitex Garments,545,535,536.90,532.65,4.25,0.80,/india/stockpricequote/textiles-readymadeapparels/kitexgarments/KG01 
Tata Inv Corp,584,570.05,579,574.45,4.55,0.80,/india/stockpricequote/finance-investments/tatainvestmentcorporation/TIC 
Tinplate,71.30,69.85,70.50,69.95,0.55,0.79,/india/stockpricequote/metals-nonferrous/tinplatecompanyindia/TCI02 
MRPL,51.95,50.05,51.70,51.30,0.40,0.79,/india/stockpricequote/refineries/mangalorerefinerypetrochemicals/MRP 
Gitanjali Gems,52.50,51.55,52,51.60,0.40,0.78,/india/stockpricequote/diamondcuttingpreciousmetalsjewellery/gitanjaligems/GG03 
MOSt M50 ETF,81.99,80.50,81.15,80.52,0.63,0.78,/india/stockpricequote/finance-investments/motilaloswalmostsharesm50etf/MOM 
IDFC,155.70,153.10,154.80,153.60,1.20,0.78,/india/stockpricequote/finance-termlendinginstitutions/idfc/IDF 
Havells India,311.85,305.95,310.30,307.90,2.40,0.78,/india/stockpricequote/electricequipment/havellsindia/HI01 
Guj Sidhee Cem,32.70,31.80,32.35,32.10,0.25,0.78,/india/stockpricequote/cement-major/gujaratsidheecement/GSC02 
CARE,1456,1416.75,1442.05,1431.10,10.95,0.78,/india/stockpricequote/miscellaneous/creditanalysisresearch/CAR 
Dewan Housing,405.95,397,400.50,397.45,3.05,0.77,/india/stockpricequote/finance-housing/dewanhousingfinancecorporation/DHF 
