CompanyName,CurrentPrice,DayVolume,FiveDayAvgVolume,TenDayAvgVolume,ThirtyDayAvgVolume,VolumeRating,EPS,EPSRating,StandaloneProfit,Recommendation,News,API
Britannia,1676.85,48719,119993,182737,142611,2 star,30.84,2 star,,,20.11.2014@ Accumulate Britannia Industries; target Rs 1844: KRChoksey,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI
Marksans Pharma,59,890006,4490691,3198906,3409498,3 star,1.44,1 star,,,31.10.2014@ Marksans Pharma Q2 PAT rises 56% at Rs 31.2 cr,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/marksanspharma/MP21
Marksans Pharma,59,890006,4490691,3198906,3409498,3 star,1.44,1 star,,,31.10.2014@ Marksans Pharma Q2 PAT rises 56% at Rs 31.2 cr,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/marksanspharma/MP21
Adhunik Metalik,29.25,28330,56388,72195,56563,2 star,0.23,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/steel-spongeiron/adhunikmetaliks/AM9
Adhunik Metalik,29.25,28330,56388,72195,56563,2 star,0.23,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/steel-spongeiron/adhunikmetaliks/AM9
Atlas Cycles,270.30,15040,63597,57630,63143,3 star,8.53,1 star,,,20.10.2014@ Atlas Cycles appoints Sanjiv Kavaljit Singh as director,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/atlascycleindustries/ACI08
Zydus Wellness,710,50606,32638,39809,31092,4 star,24.69,1 star,Yes,,06.11.2014@ Zydus Wellness consolidated Sep '14 sales at Rs 103.03 crore,http://www.moneycontrol.com/india/stockpricequote/vanaspatioils/zyduswellness/ZW01
Atlas Cycles,270.30,15040,63597,57630,63143,3 star,8.53,1 star,,,20.10.2014@ Atlas Cycles appoints Sanjiv Kavaljit Singh as director,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/atlascycleindustries/ACI08
Atul Auto,462.90,84636,359536,243985,133150,3 star,27.16,2 star,,,27.11.2014@ Have Rs 150cr capex plan; to maintain 20% growth: Atul Auto,http://www.moneycontrol.com/india/stockpricequote/auto-23wheelers/atulauto/AA08
Fortis Health,107.95,93552,269118,322482,272824,2 star,0.52,1 star,Yes,,14.11.2014@ Fortis Health consolidated Sep '14 sales at Rs 1031.20 crore,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/fortishealthcare/FH
Fortis Health,107.95,93552,269118,322482,272824,2 star,0.52,1 star,Yes,,14.11.2014@ Fortis Health consolidated Sep '14 sales at Rs 1031.20 crore,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/fortishealthcare/FH
Atul Auto,462.90,84636,359536,243985,133150,3 star,27.16,2 star,,,27.11.2014@ Have Rs 150cr capex plan; to maintain 20% growth: Atul Auto,http://www.moneycontrol.com/india/stockpricequote/auto-23wheelers/atulauto/AA08
MM Forgings,526.65,13745,73211,113032,111165,2 star,24.29,1 star,Yes,,21.10.2014@ MM Forgings standalone Sep '14 sales at Rs 125.45 crore,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/mmforgings/MMF
MM Forgings,526.65,13745,73211,113032,111165,2 star,24.29,1 star,Yes,,21.10.2014@ MM Forgings standalone Sep '14 sales at Rs 125.45 crore,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/mmforgings/MMF
Som Distillerie,205.75,13779,22570,23198,21743,2 star,7.38,1 star,,,11.11.2014@ Som Distilleries & Breweries: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/somdistilleriesbreweries/SDB
Som Distillerie,205.75,13779,22570,23198,21743,2 star,7.38,1 star,,,11.11.2014@ Som Distilleries & Breweries: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/somdistilleriesbreweries/SDB
Surana Solar,45.70,3817,156940,125282,98697,3 star,1.23,1 star,,,03.11.2014@ Surana Ventures: Board meeting on Nov 11 2014,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/suranasolar/SV05
Surana Solar,45.70,3817,156940,125282,98697,3 star,1.23,1 star,,,03.11.2014@ Surana Ventures: Board meeting on Nov 11 2014,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/suranasolar/SV05
JSW Energy,91.80,4005130,4862342,4719212,2441267,3 star,3.67,1 star,,,26.11.2014@ Amit Gupta positive on JSW Energy,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/jswenergy/JE01
Mangalam Cement,314.85,39748,157187,191943,173026,2 star,11.09,1 star,,,19.11.2014@ See margins improve from 9.7% in Q2: Mangalam Cement,http://www.moneycontrol.com/india/stockpricequote/cement-major/mangalamcement/MC03
JSW Energy,91.80,4005130,4862342,4719212,2441267,3 star,3.67,1 star,,,26.11.2014@ Amit Gupta positive on JSW Energy,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/jswenergy/JE01
Bodal Chemicals,30.55,121236,186621,260493,255129,2 star,2.81,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/dyespigments/bodalchemicals/BC15
Mangalam Cement,314.85,39748,157187,191943,173026,2 star,11.09,1 star,,,19.11.2014@ See margins improve from 9.7% in Q2: Mangalam Cement,http://www.moneycontrol.com/india/stockpricequote/cement-major/mangalamcement/MC03
Bodal Chemicals,30.55,121236,186621,260493,255129,2 star,2.81,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/dyespigments/bodalchemicals/BC15
Manjushree Tech,403,7390,35140,47565,31995,2 star,19.48,1 star,Yes,,28.10.2014@ Manjushree Tech standalone Sep '14 sales at Rs 104.77 crore,http://www.moneycontrol.com/india/stockpricequote/packaging/manjushreetechnopack/MT14
Manjushree Tech,403,7390,35140,47565,31995,2 star,19.48,1 star,Yes,,28.10.2014@ Manjushree Tech standalone Sep '14 sales at Rs 104.77 crore,http://www.moneycontrol.com/india/stockpricequote/packaging/manjushreetechnopack/MT14
Taj GVK Hotels,89.40,5058,14176,39659,25690,2 star,0.79,1 star,Yes,,31.10.2014@ Taj GVK Hotels standalone Sep '14 sales at Rs 59.21 crore,http://www.moneycontrol.com/india/stockpricequote/hotels/tajgvkhotelsresorts/TGV
Taj GVK Hotels,89.40,5058,14176,39659,25690,2 star,0.79,1 star,Yes,,31.10.2014@ Taj GVK Hotels standalone Sep '14 sales at Rs 59.21 crore,http://www.moneycontrol.com/india/stockpricequote/hotels/tajgvkhotelsresorts/TGV
Castrol,481,243060,737769,847114,441725,2 star,10.28,1 star,,,13.11.2014@ Castrol may test Rs 464-465: Abhijit Paul,http://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01
Castrol,481,243060,737769,847114,441725,2 star,10.28,1 star,,,13.11.2014@ Castrol may test Rs 464-465: Abhijit Paul,http://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01
TD Power System,423.55,3193,7516,109400,55606,2 star,10.23,1 star,,,07.11.2014@ Expect 15-16% EBITDA margin for full year: TD Power,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/tdpowersystems/TPS01
TD Power System,423.55,3193,7516,109400,55606,2 star,10.23,1 star,,,07.11.2014@ Expect 15-16% EBITDA margin for full year: TD Power,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/tdpowersystems/TPS01
Nitin Spinners,28.25,34326,162388,230747,159423,2 star,7.59,1 star,,,11.11.2014@ Kumar Chaturvedi ceases to be director of Nitin Spinners,http://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cottonblended/nitinspinners/NS12
Star Ferro,88.80,9775,17279,17950,16473,2 star,0.71,1 star,Yes,,04.11.2014@ Star Ferro consolidated Sep '14 sales at Rs 292.19 crore,http://www.moneycontrol.com/india/stockpricequote/steel-mediumsmall/starferrocement/SFC02
Infosys,4356,1051465,1241900,947404,1224498,3 star,178.40,5 star,,,25.11.2014@ Watch the glimpse of Young Turks Book Launch,http://www.moneycontrol.com/india/stockpricequote/computers-software/infosys/IT
Star Ferro,88.80,9775,17279,17950,16473,2 star,0.71,1 star,Yes,,04.11.2014@ Star Ferro consolidated Sep '14 sales at Rs 292.19 crore,http://www.moneycontrol.com/india/stockpricequote/steel-mediumsmall/starferrocement/SFC02
Infosys,4356,1051465,1241900,947404,1224498,3 star,178.40,5 star,,,25.11.2014@ Watch the glimpse of Young Turks Book Launch,http://www.moneycontrol.com/india/stockpricequote/computers-software/infosys/IT
Speciality Rest,184.45,12007,32619,131346,74626,2 star,4.02,1 star,,,19.11.2014@ To launch 12-15 stores this year: Speciality Restaurants,http://www.moneycontrol.com/india/stockpricequote/hotels/specialityrestaurants/SR06
Speciality Rest,184.45,12007,32619,131346,74626,2 star,4.02,1 star,,,19.11.2014@ To launch 12-15 stores this year: Speciality Restaurants,http://www.moneycontrol.com/india/stockpricequote/hotels/specialityrestaurants/SR06
Godrej Consumer,972.45,27283,162250,159285,138252,3 star,16.59,1 star,,,21.11.2014@ Remain marginally cautious on Indonesia biz: Godrej Cons,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP
Godrej Consumer,972.45,27283,162250,159285,138252,3 star,16.59,1 star,,,21.11.2014@ Remain marginally cautious on Indonesia biz: Godrej Cons,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP
Ramco Cements,344.55,67921,191525,224392,146617,2 star,5.79,1 star,Yes,,06.11.2014@ Ramco Cements Q2 net jumps five-fold to Rs 89.71 crore,http://www.moneycontrol.com/india/stockpricequote/cement-major/theramcocements/MC
Ramco Cements,344.55,67921,191525,224392,146617,2 star,5.79,1 star,Yes,,06.11.2014@ Ramco Cements Q2 net jumps five-fold to Rs 89.71 crore,http://www.moneycontrol.com/india/stockpricequote/cement-major/theramcocements/MC
Nitin Spinners,28.25,34326,162388,230747,159423,2 star,7.59,1 star,,,11.11.2014@ Kumar Chaturvedi ceases to be director of Nitin Spinners,http://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cottonblended/nitinspinners/NS12
Elgi Rubber,25.85,2169,14867,13408,13998,3 star,3.80,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/tyres/elgirubbercompany/ERC01
Gallantt Metal,26.20,22677,185309,172066,68962,3 star,1.85,1 star,Yes,,13.11.2014@ Gallantt Metal standalone Sep '14 sales at Rs 159.53 crore,http://www.moneycontrol.com/india/stockpricequote/steel-spongeiron/gallanttmetal/GM02
Elecon Eng,52.90,139866,563282,633428,369650,2 star,2.52,1 star,,,05.11.2014@ Elecon Engineering appoints Rajat Jain as CFO,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/eleconengineeringcompany/EEC
Gallantt Metal,26.20,22677,185309,172066,68962,3 star,1.85,1 star,Yes,,13.11.2014@ Gallantt Metal standalone Sep '14 sales at Rs 159.53 crore,http://www.moneycontrol.com/india/stockpricequote/steel-spongeiron/gallanttmetal/GM02
Action Const,39.50,130154,443467,996212,543624,2 star,0.41,1 star,,,10.11.2014@ See incremental rise in rev margins at 5.5% levels: ACE,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/actionconstructionequipment/ACE3
Elecon Eng,52.90,139866,563282,633428,369650,2 star,2.52,1 star,,,05.11.2014@ Elecon Engineering appoints Rajat Jain as CFO,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/eleconengineeringcompany/EEC
Triveni Turbine,102.15,85247,132312,583762,246514,2 star,2.07,1 star,,,15.07.2014@ Accumulate Triveni Turbine; target of Rs 98: Dolat Capital,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/triveniturbine/TT14
Action Const,39.50,130154,443467,996212,543624,2 star,0.41,1 star,,,10.11.2014@ See incremental rise in rev margins at 5.5% levels: ACE,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/actionconstructionequipment/ACE3
Triveni Turbine,102.15,85247,132312,583762,246514,2 star,2.07,1 star,,,15.07.2014@ Accumulate Triveni Turbine; target of Rs 98: Dolat Capital,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/triveniturbine/TT14
Vivimed Labs,369.95,7619,11068,18299,16170,2 star,16.43,1 star,Yes,,14.11.2014@ Vivimed Labs consolidated Sep '14 sales at Rs 316.80 crore,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/vivimedlabs/VL07
Vivimed Labs,369.95,7619,11068,18299,16170,2 star,16.43,1 star,Yes,,14.11.2014@ Vivimed Labs consolidated Sep '14 sales at Rs 316.80 crore,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/vivimedlabs/VL07
GlaxoSmithKline,2940,5758,13731,13598,12385,3 star,59.25,3 star,,,20.11.2014@ Looking at investing Rs 900 cr in greenfield facility: GSK,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK
GlaxoSmithKline,2940,5758,13731,13598,12385,3 star,59.25,3 star,,,20.11.2014@ Looking at investing Rs 900 cr in greenfield facility: GSK,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK
Mahindra CIE,225.85,31221,159699,294622,261307,2 star,1.95,1 star,,,03.11.2014@ Mahindra CIE Automotive: Updates on scheme of amalgamation,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/mahindracieautomotive/MF19
Mahindra CIE,225.85,31221,159699,294622,261307,2 star,1.95,1 star,,,03.11.2014@ Mahindra CIE Automotive: Updates on scheme of amalgamation,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/mahindracieautomotive/MF19
Elgi Rubber,25.85,2169,14867,13408,13998,3 star,3.80,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/tyres/elgirubbercompany/ERC01
Blue Star,348.25,15587,54405,74331,74080,2 star,8.44,1 star,,,18.11.2014@ Co to focus on increasing order inflow: Blue Star,http://www.moneycontrol.com/india/stockpricequote/consumergoods-whitegoods/bluestar/BS
Blue Star,348.25,15587,54405,74331,74080,2 star,8.44,1 star,,,18.11.2014@ Co to focus on increasing order inflow: Blue Star,http://www.moneycontrol.com/india/stockpricequote/consumergoods-whitegoods/bluestar/BS
Amtek India,87.75,152070,672774,674380,588828,2 star,7.58,1 star,,,24.11.2014@ Amtek India's board recommends dividend,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/amtekindia/AI49
V-Guard Ind,1123,21928,82094,71501,44295,3 star,23.50,1 star,Yes,,05.11.2014@ V-Guard Ind standalone Sep '14 sales at Rs 431.25 crore,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/v-guardindustries/VI02
V-Guard Ind,1123,21928,82094,71501,44295,3 star,23.50,1 star,Yes,,05.11.2014@ V-Guard Ind standalone Sep '14 sales at Rs 431.25 crore,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/v-guardindustries/VI02
Indian Terrain,519.10,6143,8285,24309,13976,2 star,17.36,1 star,Yes,,14.11.2014@ Indian Terrain standalone Sep '14 sales at Rs 103.62 crore,http://www.moneycontrol.com/india/stockpricequote/textiles-readymadeapparels/indianterrainfashions/ITF
Amtek India,87.75,152070,672774,674380,588828,2 star,7.58,1 star,,,24.11.2014@ Amtek India's board recommends dividend,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/amtekindia/AI49
Shemaroo Ent,200.65,47180,349186,286563,150327,3 star,14.08,1 star,,,20.11.2014@ Shemaroo Entertainment extends its relationship with The Orchard,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/shemarooentertainment/SE03
Indian Terrain,519.10,6143,8285,24309,13976,2 star,17.36,1 star,Yes,,14.11.2014@ Indian Terrain standalone Sep '14 sales at Rs 103.62 crore,http://www.moneycontrol.com/india/stockpricequote/textiles-readymadeapparels/indianterrainfashions/ITF
Shemaroo Ent,200.65,47180,349186,286563,150327,3 star,14.08,1 star,,,20.11.2014@ Shemaroo Entertainment extends its relationship with The Orchard,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/shemarooentertainment/SE03
Rushil Decor,47.85,1623,49460,80289,59787,2 star,2.09,1 star,,,10.11.2014@ Rushil Decor: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/rushildecor/RD02
Time Techno,51.85,73677,498624,482064,257635,3 star,3.82,1 star,,BUY,21.11.2014@ Buy Time Technoplast; target of Rs 60: Kotak Securities,http://www.moneycontrol.com/india/stockpricequote/packaging/timetechnoplast/TT03
Rushil Decor,47.85,1623,49460,80289,59787,2 star,2.09,1 star,,,10.11.2014@ Rushil Decor: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/rushildecor/RD02
Geometric,133.35,127982,1145871,918983,582482,3 star,8.85,1 star,,,07.11.2014@ Accumulate Geometric; target of Rs 145: P Lilladher,http://www.moneycontrol.com/india/stockpricequote/computers-software/geometric/G03
Time Techno,51.85,73677,498624,482064,257635,3 star,3.82,1 star,,BUY,21.11.2014@ Buy Time Technoplast; target of Rs 60: Kotak Securities,http://www.moneycontrol.com/india/stockpricequote/packaging/timetechnoplast/TT03
Geometric,133.35,127982,1145871,918983,582482,3 star,8.85,1 star,,,07.11.2014@ Accumulate Geometric; target of Rs 145: P Lilladher,http://www.moneycontrol.com/india/stockpricequote/computers-software/geometric/G03
M&M,1287.15,541729,1510942,1200382,1064172,3 star,61.02,3 star,,BUY*,26.11.2014@ Buy Mahindra and Mahindra on dips: Sudarshan Sukhani,http://www.moneycontrol.com/india/stockpricequote/auto-carsjeeps/mahindramahindra/MM
Sabero Organics,187,364,8201,14296,10905,2 star,9.79,1 star,Yes,,28.10.2014@ Sabero Organics consolidated Sep '14 sales at Rs 270.68 crore,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/saberoorganicsgujarat/SOG
Sabero Organics,187,364,8201,14296,10905,2 star,9.79,1 star,Yes,,28.10.2014@ Sabero Organics consolidated Sep '14 sales at Rs 270.68 crore,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/saberoorganicsgujarat/SOG
M&M,1287.15,541729,1510942,1200382,1064172,3 star,61.02,3 star,,BUY*,26.11.2014@ Buy Mahindra and Mahindra on dips: Sudarshan Sukhani,http://www.moneycontrol.com/india/stockpricequote/auto-carsjeeps/mahindramahindra/MM
Asian Paints,712,855266,1097510,1733965,1516419,2 star,12.19,1 star,,,26.11.2014@ Asian Paints may touch Rs 735-740: Kunal Bothra,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
Asian Paints,712,855266,1097510,1733965,1516419,2 star,12.19,1 star,,,26.11.2014@ Asian Paints may touch Rs 735-740: Kunal Bothra,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
Alicon Castallo,236,7192,49668,70458,34921,2 star,14.67,1 star,Yes,,31.07.2014@ Alicon Castallo consolidated Jun '14 sales at Rs 126.41 crore,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/aliconcastalloy/EC06
KPIT Tech,170.10,314617,750323,701761,571956,3 star,8.04,1 star,,,18.11.2014@ KPIT Technologies: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/kpittechnologies/KPI02
Industrial Inv,75.15,52,1680,966,593,3 star,6.36,1 star,,,24.11.2014@ Industrial Investment Trust change of name of subsidiary company,http://www.moneycontrol.com/india/stockpricequote/finance-investments/industrialinvestmenttrust/IIT01
Industrial Inv,75.15,52,1680,966,593,3 star,6.36,1 star,,,24.11.2014@ Industrial Investment Trust change of name of subsidiary company,http://www.moneycontrol.com/india/stockpricequote/finance-investments/industrialinvestmenttrust/IIT01
Alicon Castallo,236,7192,49668,70458,34921,2 star,14.67,1 star,Yes,,31.07.2014@ Alicon Castallo consolidated Jun '14 sales at Rs 126.41 crore,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/aliconcastalloy/EC06
Future Life,81.15,45192,190224,273049,231372,2 star,1.51,1 star,,,18.11.2014@ Future Lifestyle: Outcome of management committee meeting,http://www.moneycontrol.com/india/stockpricequote/retail/futurelifestylefashions/FLF01
Future Life,81.15,45192,190224,273049,231372,2 star,1.51,1 star,,,18.11.2014@ Future Lifestyle: Outcome of management committee meeting,http://www.moneycontrol.com/india/stockpricequote/retail/futurelifestylefashions/FLF01
Oracle Fin Serv,3300.20,37438,31296,25028,25689,5 star,136.48,5 star,,,20.11.2014@ Accumulate Oracle Financial; target of Rs 3475: Kotak Sec,http://www.moneycontrol.com/india/stockpricequote/computers-software/oraclefinancialservicessoftware/OFS01
Firstsource Sol,35.40,796989,1806157,2142438,1705523,2 star,2.04,1 star,,,24.11.2014@ Firstsource Solutions may touch Rs 55: Mahantesh Sabarad,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/firstsourcesolutions/FS07
Oracle Fin Serv,3300.20,37438,31296,25028,25689,5 star,136.48,5 star,,,20.11.2014@ Accumulate Oracle Financial; target of Rs 3475: Kotak Sec,http://www.moneycontrol.com/india/stockpricequote/computers-software/oraclefinancialservicessoftware/OFS01
TV18 Broadcast,30.50,1131808,8988011,5523066,3541947,3 star,0.35,1 star,,,26.11.2014@ TV18 Broadcast: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tv18broadcast/IBN
TV18 Broadcast,30.50,1131808,8988011,5523066,3541947,3 star,0.35,1 star,,,26.11.2014@ TV18 Broadcast: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tv18broadcast/IBN
Firstsource Sol,35.40,796989,1806157,2142438,1705523,2 star,2.04,1 star,,,24.11.2014@ Firstsource Solutions may touch Rs 55: Mahantesh Sabarad,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/firstsourcesolutions/FS07
KPIT Tech,170.10,314617,750323,701761,571956,3 star,8.04,1 star,,,18.11.2014@ KPIT Technologies: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/kpittechnologies/KPI02
Nandan Denim,46.65,62476,86592,85100,80085,3 star,8.63,1 star,,,14.11.2014@ Nandan Denim appoints Pratima Ram Giraj Mohan Sharma as additional director,http://www.moneycontrol.com/india/stockpricequote/textiles-denim/nandandenim/NE06
Nandan Denim,46.65,62476,86592,85100,80085,3 star,8.63,1 star,,,14.11.2014@ Nandan Denim appoints Pratima Ram Giraj Mohan Sharma as additional director,http://www.moneycontrol.com/india/stockpricequote/textiles-denim/nandandenim/NE06
CESC,691.80,118080,408282,516694,490639,2 star,52.18,3 star,,,26.11.2014@ Expect downside in CESC: Sudarshan Sukhani,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/cesc/CES
CESC,691.80,118080,408282,516694,490639,2 star,52.18,3 star,,,26.11.2014@ Expect downside in CESC: Sudarshan Sukhani,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/cesc/CES
Eros Intl,344.50,262453,375010,409754,277878,2 star,12.36,1 star,,,14.11.2014@ Eros International: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/erosinternationalmedia/EIM
Eros Intl,344.50,262453,375010,409754,277878,2 star,12.36,1 star,,,14.11.2014@ Eros International: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/erosinternationalmedia/EIM
Godfrey Phillip,3058.40,3337,18478,13343,7053,3 star,164.10,5 star,,,30.10.2014@ Godfrey Phillips India's board meeting on Nov 09 2014,http://www.moneycontrol.com/india/stockpricequote/cigarettes/godfreyphillipsindia/GPI
Godfrey Phillip,3058.40,3337,18478,13343,7053,3 star,164.10,5 star,,,30.10.2014@ Godfrey Phillips India's board meeting on Nov 09 2014,http://www.moneycontrol.com/india/stockpricequote/cigarettes/godfreyphillipsindia/GPI
KEC Intl,102.15,280598,257677,313018,297385,2 star,3.33,1 star,,,20.11.2014@ New biz verticals will be profitable in FY16: KEC Intl,http://www.moneycontrol.com/india/stockpricequote/power-transmissionequipment/kecinternational/KEC04
KEC Intl,102.15,280598,257677,313018,297385,2 star,3.33,1 star,,,20.11.2014@ New biz verticals will be profitable in FY16: KEC Intl,http://www.moneycontrol.com/india/stockpricequote/power-transmissionequipment/kecinternational/KEC04
Finolex Cables,265.45,76155,460924,442801,366239,3 star,13.58,1 star,,,11.11.2014@ Finolex Cables appoints Namita Vikas Thapar as director,http://www.moneycontrol.com/india/stockpricequote/cables-telephone/finolexcables/FC01
Finolex Cables,265.45,76155,460924,442801,366239,3 star,13.58,1 star,,,11.11.2014@ Finolex Cables appoints Namita Vikas Thapar as director,http://www.moneycontrol.com/india/stockpricequote/cables-telephone/finolexcables/FC01
JagsonpalPharma,33.25,29391,410466,221458,121398,3 star,0.81,1 star,Yes,,04.06.2014@ Jagson Pharma standalone Mar '14 sales at Rs 31.28 crore,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jagsonpalpharmaceuticals/JP02
JagsonpalPharma,33.25,29391,410466,221458,121398,3 star,0.81,1 star,Yes,,04.06.2014@ Jagson Pharma standalone Mar '14 sales at Rs 31.28 crore,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jagsonpalpharmaceuticals/JP02
Kohinoor Foods,44,13000,43405,58233,51078,2 star,1.85,1 star,,,14.11.2014@ To achieve projected rev of Rs 1500 in FY15: Kohinoor Foods,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/kohinoorfoods/KF15
Kohinoor Foods,44,13000,43405,58233,51078,2 star,1.85,1 star,,,14.11.2014@ To achieve projected rev of Rs 1500 in FY15: Kohinoor Foods,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/kohinoorfoods/KF15
Aries Agro,110.40,129680,521240,458524,171017,3 star,8.87,1 star,Yes,,14.08.2014@ Aries Agro consolidated Jun '14 sales at Rs 51.25 crore,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/ariesagro/AA02
Visaka Ind,131.75,40362,133735,95343,49011,3 star,7.54,1 star,,BUY,25.11.2014@ Buy Visaka Industries; target of Rs 174: Angel Broking,http://www.moneycontrol.com/india/stockpricequote/cement-productsbuildingmaterials/visakaindustries/VI11
Aries Agro,110.40,129680,521240,458524,171017,3 star,8.87,1 star,Yes,,14.08.2014@ Aries Agro consolidated Jun '14 sales at Rs 51.25 crore,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/ariesagro/AA02
Visaka Ind,131.75,40362,133735,95343,49011,3 star,7.54,1 star,,BUY,25.11.2014@ Buy Visaka Industries; target of Rs 174: Angel Broking,http://www.moneycontrol.com/india/stockpricequote/cement-productsbuildingmaterials/visakaindustries/VI11
Reliance Power,68.60,3505702,17146212,12551140,7288170,3 star,0.20,1 star,,BUY,18.11.2014@ Buy Reliance Power says Ambareesh Baliga,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/reliancepower/RP
Zodiac Clothing,399.15,34,1336,905,401,3 star,7.70,1 star,Yes,,13.11.2014@ Zodiac Clothing consolidated Sep '14 sales at Rs 95.76 crore,http://www.moneycontrol.com/india/stockpricequote/textiles-readymadeapparels/zodiacclothingcompany/ZCC
Zodiac Clothing,399.15,34,1336,905,401,3 star,7.70,1 star,Yes,,13.11.2014@ Zodiac Clothing consolidated Sep '14 sales at Rs 95.76 crore,http://www.moneycontrol.com/india/stockpricequote/textiles-readymadeapparels/zodiacclothingcompany/ZCC
Reliance Power,68.60,3505702,17146212,12551140,7288170,3 star,0.20,1 star,,BUY,18.11.2014@ Buy Reliance Power says Ambareesh Baliga,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/reliancepower/RP
Brooks Labs,46.75,42269,380253,487640,190100,2 star,4.47,1 star,,,13.11.2014@ Brooks Laboratories: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/brookslaboratories/BL
Brooks Labs,46.75,42269,380253,487640,190100,2 star,4.47,1 star,,,13.11.2014@ Brooks Laboratories: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/brookslaboratories/BL
